name,geoid,Total Population,Total above poverty level,Under 5 years,5 years,6 to 11 years,12 to 14 years,15 years,16 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Total Male,Total Male below poverty rate,Under 5 years,5 years,6 to 11 years,12 to 14 years,15 years,16 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Total Female ,Total Female below poverty rate,Total below poverty ,Total below Poverty Rate ,White ,Black or African American,American Indian and Alaska Native,Asian,Not Hispanic or Latino,Native Hawaiian and other pacific islander,Some other race alone,Two or more races,Two races including some other race,"Two races including some other race, and three or more races","Less than $10,000k","$10k to $14,999","$15k to $19,999","$20k to $24,999","$25k to $29,999","$30k to $34,999","$35k to $39,999","$40k to $44,999","$45k to $49,999","$50k to $59,999","$60k to $74,999","$70k to $99,999","$100k to $124,999","$125k to $149,999","$150k to $199,000",$200k or more,Total education attainment for over 25 years olds,Total Households income,No Schooling Completed,Nursery to 4th grade,5th grade to 6th grade,7th to 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma ",High School graduate,"Some college, Less than one year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's dregree,Master's degree,Proffessional School degree,doctorate degree,Total Male,At least bachelor's dg Total,No Schooling Completed,Nursery to 4th grade,5th grade to 6th grade,7th to 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma ",High School graduate,"Some college, Less than one year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's dregree,Master's degree,Proffesional School degree,doctorate degree,Total Female,At least bachelor's dg Total
Alabama,04000US01,"4,893,186","4,008,972","36,732","6,976","43,320","18,327","5,824","12,589","44,104","36,200","27,658","30,588","35,883","17,887","9,472","325,560",6.65%,"36,637","6,975","41,045","18,395","6,273","11,633","56,800","65,703","48,347","42,164","47,755","29,153","26,202","437,082",8.93%,"4,771,614",15.59%,"3,192,147","1,292,950","21,297","67,317","4,680,235","1,887","9,779","94,858","6,879","87,979","153,635","105,415","106,327","100,073","100,569","96,815","87,120","86,181","75,721","148,045","182,282","222,963","153,722","94,196","91,821","83,619","3,344,006","1,888,504","21,238","6,778","12,425","30,071","33,757","45,204","44,558","33,910","499,138","97,163","236,791","116,611","253,303","95,170","30,300","22,558","1,578,975","401,331","20,192","5,298","10,795","26,853","30,015","43,162","44,735","29,956","515,204","112,398","275,257","175,453","293,371","144,576","21,869","15,897","1,765,031","475,713"
Alaska,04000US02,"736,990","645,076","4,037",796,"4,248","1,775",698,"1,080","4,494","5,108","3,788","3,363","4,358","1,495",699,"35,939",4.88%,"4,240",617,"4,035","1,615",740,983,"5,066","6,742","3,953","3,457","3,582","2,033","1,367","38,430",5.21%,"719,445",10.09%,"439,979","22,720","103,843","45,855","683,931","10,306","2,953","58,275","2,389","55,886","9,818","7,476","8,007","7,832","8,008","9,148","8,506","8,947","8,352","17,874","28,733","36,114","28,918","20,298","24,610","22,532","483,436","255,173","1,424",655,988,"2,579","1,567","3,434","4,051","3,261","78,947","19,691","46,874","20,857","40,942","16,640","4,935","3,537","250,382","66,054","1,748",961,"1,187","1,971","1,498","2,746","2,855","2,251","58,539","17,532","41,548","21,305","49,219","22,516","4,657","2,521","233,054","78,913"
Arizona,04000US04,"7,174,064","6,022,471","46,996","7,914","57,456","25,642","9,287","16,191","63,105","55,631","44,481","40,687","44,471","26,778","17,885","456,524",6.36%,"44,292","8,757","55,167","25,482","8,212","16,523","68,728","77,082","61,186","48,016","54,330","33,571","32,658","534,004",7.44%,"7,012,999",13.81%,"3,883,722","305,973","272,294","233,048","4,913,374","13,323","17,453","187,561","14,676","172,885","157,193","98,275","107,227","120,121","116,787","121,673","118,693","122,662","110,256","216,583","276,281","349,684","240,058","157,580","161,192","169,165","4,846,056","2,643,430","37,772","16,464","33,204","38,759","37,716","36,854","45,997","55,761","575,381","171,370","405,519","199,953","441,178","185,312","54,598","36,536","2,372,374","717,624","37,909","15,529","34,475","34,458","36,186","33,943","43,350","49,542","576,607","197,625","433,784","229,200","470,050","215,798","36,620","28,606","2,473,682","751,074"
Arkansas,04000US05,"3,011,873","2,453,395","23,978","4,389","25,700","11,391","3,992","6,992","26,334","25,227","18,742","19,326","22,837","11,496","6,235","206,639",6.86%,"23,652","4,415","25,408","11,839","3,361","6,536","36,082","39,677","28,722","24,463","28,769","15,968","14,659","263,551",8.75%,"2,923,585",15.61%,"2,155,099","455,485","15,912","45,389","2,782,244","10,258","6,974","93,127","16,390","76,737","87,109","66,021","67,790","71,501","65,130","67,305","58,828","56,923","49,654","97,150","117,950","135,461","86,222","50,496","46,660","46,344","2,026,722","1,170,544","13,162","5,259","10,782","21,865","16,495","21,628","28,448","18,748","353,092","63,863","143,147","57,195","142,105","51,160","16,914","10,125","973,988","220,304","12,155","4,519","9,101","18,560","17,105","20,830","25,642","16,061","333,720","73,757","164,501","94,392","166,543","76,032","11,278","8,538","1,052,734","262,391"
California,04000US06,"39,346,023","33,736,448","204,423","39,921","259,955","124,833","41,954","82,096","293,105","270,730","232,935","210,483","220,806","126,684","87,066","2,194,991",5.58%,"197,107","39,479","249,432","122,703","41,070","77,676","342,878","387,399","328,012","254,419","259,479","179,078","179,711","2,658,443",6.76%,"38,589,882",12.34%,"14,365,145","2,142,371","131,724","5,743,983","23,965,094","135,524","124,148","1,322,199","98,006","1,224,193","614,887","507,398","435,382","474,093","454,373","475,343","440,094","461,954","414,016","844,842","1,162,681","1,616,338","1,295,090","940,024","1,227,224","1,739,375","26,665,143","13,103,114","358,691","177,822","403,827","185,227","230,541","164,359","233,261","382,105","2,765,552","737,279","1,987,274","949,935","2,764,363","1,111,914","353,772","264,164","13,070,086","4,494,213","415,116","203,540","428,105","195,668","224,686","156,969","201,775","324,846","2,665,833","821,107","2,020,860","1,173,892","3,000,464","1,265,263","314,058","182,875","13,595,057","4,762,660"
Colorado,04000US08,"5,684,926","5,019,591","21,188","3,983","25,074","11,418","4,279","7,173","43,796","35,384","23,973","22,739","28,164","14,315","8,113","249,599",4.39%,"18,977","3,950","23,892","11,572","3,810","8,074","51,901","46,821","32,230","26,379","30,560","19,575","16,892","294,633",5.18%,"5,563,823",9.57%,"3,837,450","224,190","29,337","178,265","4,453,800","7,794","12,208","164,556","17,233","147,323","96,924","65,782","67,594","73,827","72,607","82,052","79,193","80,495","75,425","156,526","214,966","290,253","229,671","158,981","186,878","206,228","3,900,754","2,137,402","22,861","6,585","19,149","17,189","19,123","20,499","26,980","28,881","435,348","115,533","288,126","151,346","495,933","205,051","52,434","38,735","1,943,773","792,153","22,467","6,427","17,361","16,584","16,709","19,684","22,817","25,469","391,733","124,711","281,538","180,781","520,056","240,433","41,169","29,042","1,956,981","830,700"
Connecticut,04000US09,"3,570,549","3,127,779","13,180","3,220","16,227","7,852","2,556","5,247","19,130","17,568","13,061","16,557","18,458","8,368","5,750","147,174",4.12%,"11,966","2,520","15,935","8,362","2,538","5,062","22,393","28,551","22,582","20,509","23,041","13,700","14,823","191,982",5.38%,"3,466,935",9.50%,"2,357,942","352,036","4,882","161,787","2,983,337",742,"12,802","93,146","12,185","80,961","68,078","47,492","45,210","49,223","46,249","48,658","45,978","49,293","43,114","91,379","122,642","169,430","139,302","103,959","132,437","182,993","2,489,205","1,385,437","14,459","5,961","12,346","16,455","13,203","17,096","16,260","20,175","328,904","61,547","138,065","77,725","261,124","138,747","42,370","24,095","1,188,532","466,336","14,661","7,418","11,227","16,909","12,394","16,047","15,148","15,791","326,477","71,499","148,127","115,311","290,335","184,949","35,348","19,032","1,300,673","529,664"
Delaware,04000US10,"967,679","833,625","5,550","1,028","5,363","3,191","1,155","1,256","5,390","4,748","3,627","4,945","5,536","2,356","1,631","45,776",4.73%,"5,259",461,"6,377","2,270",992,"1,488","7,498","9,434","7,191","5,669","7,633","3,787","3,806","61,865",6.39%,"941,266",11.12%,"595,236","208,126","2,836","38,249","876,329",290,"3,504","28,088","1,945","26,143","19,160","13,010","11,174","14,236","15,852","17,138","14,467","14,832","14,128","27,470","38,373","51,437","37,035","25,900","28,648","28,093","679,870","370,953","2,890","1,119","2,969","4,520","3,901","5,996","7,219","6,299","104,525","18,924","40,535","21,121","59,723","27,870","6,524","7,961","322,096","102,078","3,094",785,"2,614","4,242","3,227","5,155","4,995","4,818","106,473","22,489","46,449","33,468","69,369","39,487","5,681","5,428","357,774","119,965"
District of Columbia,04000US11,"701,974","565,698","4,236",791,"4,658","1,936",805,"1,183","7,183","6,154","4,011","4,200","5,728","2,745","1,644","45,274",6.45%,"4,418",751,"5,212","2,588",539,"1,230","8,013","10,772","6,028","5,721","5,812","3,887","3,146","58,117",8.28%,"669,089",14.73%,"257,792","312,661","1,298","28,347","623,993",283,"3,565","20,047","1,839","18,208","24,083","11,315","8,300","7,315","7,940","8,057","6,784","7,224","6,890","14,865","20,923","30,691","27,242","19,935","29,680","57,063","501,986","288,307","2,653","1,455","2,021","2,231","2,454","2,672","3,578","3,323","40,204","7,618","20,437","5,703","59,914","47,548","23,490","10,696","235,997","141,648","2,902","1,189","2,058","2,232","2,077","3,082","3,835","3,049","43,143","10,508","24,707","8,880","66,894","59,331","22,209","9,893","265,989","158,327"
Florida,04000US12,"21,216,924","18,020,689","113,726","22,181","137,499","63,134","20,312","40,544","140,320","138,270","117,996","121,003","148,390","101,606","74,500","1,239,481",5.84%,"110,710","20,487","127,759","58,150","21,269","38,030","159,729","210,334","171,603","158,342","183,196","138,119","135,730","1,533,458",7.23%,"20,793,628",13.07%,"11,331,222","3,231,108","39,070","579,476","15,748,098","10,889","90,892","465,441","62,481","402,960","494,959","329,848","354,967","382,253","388,231","399,794","373,269","383,600","337,914","651,215","802,499","990,657","671,918","416,623","443,475","510,091","15,255,326","7,931,313","117,543","46,587","83,622","100,076","106,001","130,106","136,233","180,435","2,111,668","462,506","970,101","651,616","1,388,109","539,183","201,820","102,505","7,328,111","2,231,617","122,487","49,445","89,163","92,892","92,916","113,374","122,834","168,084","2,196,874","535,123","1,045,601","870,093","1,550,484","657,318","142,467","78,060","7,927,215","2,428,329"
