name,geoid,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
Alabama,04000US01,"4,771,614",1397,"762,642",11016,325560,6091,36732,1502,6976,706,43320,1796,18327,1067,5824,655,12589,847,44104,1947,36200,1767,27658,1369,30588,1372,35883,1707,17887,1218,9472,676,437082,6361,36637,1562,"6,975",771,"41,045",1590,18395,1310,6273,645,11633,754,56800,1872,65703,2029,48347,1667,42164,1468,47755,1473,29153,1270,26202,1009,4008972,11008,1970865,6210,109605,1584,21471,1181,142886,2002,73869,2224,25832,1167,51949,1454,164637,2021,269175,2217,249455,1563,265940,1458,270487,1763,205012,1395,120547,886,2038107,6444,105374,1612,20716,1185,134769,2727,71343,1916,24236,1186,49374,1468,145789,2090,257167,2061,257622,1667,279087,1509,293234,1599,233127,1191,166269,1135
Alaska,04000US02,"719,445",500,"74,369",3007,35939,1573,4037,419,796,176,4248,480,1775,298,698,211,1080,189,4494,602,5108,451,3788,434,3363,317,4358,454,1495,241,699,174,38430,1838,4240,513,617,155,"4,035",440,1615,266,740,196,983,194,5066,481,6742,597,3953,482,3457,355,3582,445,2033,395,1367,263,645076,2962,336272,1598,22123,477,4044,420,27235,857,13419,663,4089,419,8951,422,30239,638,55156,671,43898,605,42746,626,43670,614,28918,391,11784,227,308804,1892,20730,537,5216,592,25359,837,11585,635,4204,352,7817,464,23971,559,48526,712,41399,572,38565,487,41661,515,26487,480,13284,386
Arizona,04000US04,"7,012,999",3053,"990,528",12842,456524,7460,46996,1981,7914,735,57456,1979,25642,1176,9287,788,16191,948,63105,2581,55631,2174,44481,2148,40687,2107,44471,1660,26778,1285,17885,888,534004,7566,44292,1733,"8,757",795,"55,167",2232,25482,1299,8212,807,16523,1279,68728,2829,77082,2284,61186,1813,48016,1435,54330,1892,33571,1293,32658,1581,6022471,12962,2999509,7784,169360,2139,33291,1758,222181,2796,116748,2603,38905,1512,77399,1545,264259,2700,431306,2414,383275,2138,370573,2187,360826,1723,311339,1336,220047,950,3022962,7510,162085,1993,33283,1598,209017,2542,113576,2436,37732,1605,74364,1954,239917,2819,395765,2315,372370,1875,380341,1462,396507,1888,353182,1397,254823,1565
Arkansas,04000US05,"2,923,585",981,"470,190",8038,206639,4510,23978,1270,4389,445,25700,1281,11391,924,3992,464,6992,607,26334,1496,25227,1414,18742,1152,19326,1043,22837,1133,11496,777,6235,519,263551,5032,23652,1150,"4,415",591,"25,408",1404,11839,980,3361,346,6536,650,36082,1485,39677,1721,28722,1531,24463,1173,28769,1396,15968,841,14659,892,2453395,8037,1219965,4568,70934,1425,14409,981,92623,2103,49611,1723,16174,871,32781,944,102205,1498,165107,1565,157570,1446,156098,1337,158751,1177,124425,901,79277,638,1233430,4977,65807,1272,13150,901,89608,1771,44255,1366,16770,831,31612,1074,86918,1545,155620,1713,157324,1624,160904,1268,169397,1425,140925,943,101140,1013
California,04000US06,"38,589,882",3672,"4,853,434",39919,2194991,20802,204423,4459,39921,1626,259955,5330,124833,3349,41954,1660,82096,2203,293105,4900,270730,4307,232935,4069,210483,3404,220806,4014,126684,2944,87066,2266,2658443,22552,197107,4328,"39,479",1984,"249,432",4629,122703,2974,41070,1484,77676,2214,342878,5153,387399,5986,328012,5178,254419,4297,259479,4228,179078,3134,179711,2827,33736448,40345,16888271,20696,1006337,4458,195878,3599,1256040,6504,650392,6820,210069,3029,430652,3379,1465678,5605,2748189,4573,2352875,4439,2259892,3445,2054553,4395,1376704,3067,881012,2370,16848177,23154,958655,4568,191382,3466,1192958,6814,622170,5994,208693,3101,411798,3769,1344570,5076,2508269,6066,2256501,5219,2269392,4324,2165663,4483,1556367,3175,1161759,3071
Colorado,04000US08,"5,563,823",1118,"544,232",9500,249599,4406,21188,1191,3983,640,25074,1444,11418,963,4279,523,7173,613,43796,1629,35384,1612,23973,1207,22739,1216,28164,1171,14315,847,8113,678,294633,6518,18977,1220,"3,950",621,"23,892",1340,11572,949,3810,473,8074,656,51901,2082,46821,1710,32230,1385,26379,1252,30560,1215,19575,1061,16892,1005,5019591,9597,2534249,4618,144780,1424,29666,1358,190083,2550,99076,1689,33095,1104,64410,1169,202104,1840,418408,1853,368106,1332,330150,1516,312920,1215,222448,963,119003,816,2485342,6457,141179,1305,29281,1185,181042,2030,93087,1996,31621,1164,61007,1398,178885,2081,376630,1884,346338,1544,324125,1358,329737,1304,240268,1213,152142,1111
Connecticut,04000US09,"3,466,935",787,"339,156",7695,147174,4086,13180,874,3220,723,16227,1184,7852,765,2556,395,5247,538,19130,1403,17568,1127,13061,981,16557,915,18458,1206,8368,753,5750,474,191982,4860,11966,1028,"2,520",502,"15,935",1201,8362,721,2538,441,5062,577,22393,1463,28551,1296,22582,1227,20509,1093,23041,1186,13700,895,14823,1008,3127779,7746,1540547,4119,78986,984,14807,951,105504,1961,61026,1609,20319,913,42352,1066,130649,1525,202568,1308,192303,1050,219395,1095,225615,1204,150095,802,96928,630,1587232,4887,75923,1072,15505,979,101675,1901,56238,1505,20518,1108,39046,1163,116887,1680,188897,1323,193954,1261,233263,1147,239764,1184,169310,924,136252,1158
Delaware,04000US10,"941,266",610,"107,641",4332,45776,2047,5550,755,1028,331,5363,579,3191,474,1155,280,1256,233,5390,612,4748,646,3627,468,4945,592,5536,621,2356,328,1631,283,61865,2952,5259,593,461,156,"6,377",783,2270,423,992,266,1488,334,7498,611,9434,871,7191,777,5669,569,7633,784,3787,396,3806,552,833625,4382,407595,2146,21564,795,4253,580,27711,1017,15194,941,4461,446,10574,435,31459,742,57534,671,49572,478,52433,628,57058,626,47182,333,28600,305,426030,2990,20927,626,3637,405,27511,1081,15036,854,4740,524,9882,582,27370,645,54530,866,50034,780,57642,567,64036,781,54320,427,36365,556
District of Columbia,04000US11,"669,089",488,"103,391",3390,45274,1990,4236,606,791,282,4658,578,1936,510,805,272,1183,194,7183,877,6154,714,4011,607,4200,545,5728,552,2745,337,1644,322,58117,2446,4418,656,751,228,"5,212",665,2588,452,539,197,1230,316,8013,766,10772,828,6028,621,5721,750,5812,562,3887,437,3146,392,565698,3353,271519,2081,18470,638,3458,585,15174,818,6376,695,2164,371,3482,369,15222,942,69547,726,47288,659,33445,594,27292,568,18076,367,11525,344,294179,2286,17266,666,2457,323,14637,806,6489,691,1839,386,3994,464,18894,824,75775,854,47638,613,31904,735,30803,551,23813,453,18670,402
Florida,04000US12,"20,793,628",2956,"2,772,939",26520,1239481,14666,113726,3023,22181,1539,137499,3611,63134,2870,20312,1430,40544,1680,140320,3688,138270,4223,117996,3473,121003,3404,148390,3926,101606,2804,74500,2659,1533458,15290,110710,4161,"20,487",1293,"127,759",3646,58150,2356,21269,1380,38030,1583,159729,3603,210334,4511,171603,3298,158342,3701,183196,4566,138119,2980,135730,3330,18020689,26941,8863889,15528,454072,3117,86162,2644,565208,6017,307068,4064,101808,2556,202241,2773,683096,4188,1218843,4129,1118251,3601,1192596,3294,1177037,3908,992086,2944,765421,2685,9156800,14988,434159,4101,85672,2611,551094,5370,289448,4293,97561,2464,197055,2525,634489,3675,1144960,4511,1115303,3514,1229673,3836,1306595,4693,1142352,2969,928439,3575
