geoid,name,B15002001,"B15002001, Error",B15002002,"B15002002, Error",B15002003,"B15002003, Error",B15002004,"B15002004, Error",B15002005,"B15002005, Error",B15002006,"B15002006, Error",B15002007,"B15002007, Error",B15002008,"B15002008, Error",B15002009,"B15002009, Error",B15002010,"B15002010, Error",B15002011,"B15002011, Error",B15002012,"B15002012, Error",B15002013,"B15002013, Error",B15002014,"B15002014, Error",B15002015,"B15002015, Error",B15002016,"B15002016, Error",B15002017,"B15002017, Error",B15002018,"B15002018, Error",B15002019,"B15002019, Error",B15002020,"B15002020, Error",B15002021,"B15002021, Error",B15002022,"B15002022, Error",B15002023,"B15002023, Error",B15002024,"B15002024, Error",B15002025,"B15002025, Error",B15002026,"B15002026, Error",B15002027,"B15002027, Error",B15002028,"B15002028, Error",B15002029,"B15002029, Error",B15002030,"B15002030, Error",B15002031,"B15002031, Error",B15002032,"B15002032, Error",B15002033,"B15002033, Error",B15002034,"B15002034, Error",B15002035,"B15002035, Error"
04000US01,Alabama,3344006,1279,1578975,966,21238,1256,6778,629,12425,799,30071,1462,33757,1667,45204,1833,44558,1684,33910,1548,499138,5342,97163,2741,236791,4097,116611,3187,253303,3735,95170,2645,30300,1266,22558,1233,1765031,873,20192,1100,5298,661,10795,712,26853,1340,30015,1571,43162,1781,44735,1697,29956,1471,515204,5516,112398,2934,275257,4716,175453,3383,293371,4092,144576,3251,21869,1226,15897,990
04000US02,Alaska,483436,429,250382,503,1424,261,655,172,988,194,2579,402,1567,204,3434,558,4051,416,3261,496,78947,1608,19691,1058,46874,1380,20857,1238,40942,1345,16640,914,4935,462,3537,468,233054,367,1748,323,961,237,1187,244,1971,296,1498,257,2746,374,2855,415,2251,348,58539,1594,17532,977,41548,1540,21305,986,49219,1290,22516,1074,4657,488,2521,352
04000US04,Arizona,4846056,558,2372374,510,37772,1966,16464,1133,33204,1570,38759,1641,37716,1882,36854,1578,45997,2000,55761,2090,575381,6659,171370,3514,405519,5580,199953,3709,441178,5617,185312,3302,54598,1945,36536,1712,2473682,395,37909,1716,15529,1515,34475,1528,34458,1779,36186,1710,33943,1833,43350,1704,49542,2590,576607,6286,197625,3774,433784,5060,229200,3800,470050,4815,215798,3870,36620,1613,28606,1394
04000US05,Arkansas,2026722,1113,973988,1059,13162,1006,5259,615,10782,872,21865,1275,16495,1079,21628,1205,28448,1404,18748,1056,353092,4078,63863,1979,143147,3011,57195,1977,142105,3618,51160,1910,16914,983,10125,678,1052734,895,12155,868,4519,597,9101,813,18560,1106,17105,1219,20830,1054,25642,1245,16061,935,333720,3918,73757,1945,164501,3114,94392,2451,166543,3528,76032,2014,11278,883,8538,780
04000US06,California,26665143,1135,13070086,989,358691,5152,177822,3729,403827,6734,185227,4129,230541,4721,164359,2917,233261,4389,382105,4638,2765552,15614,737279,8069,1987274,12299,949935,6201,2764363,13091,1111914,9644,353772,4859,264164,4125,13595057,1056,415116,4948,203540,4099,428105,6887,195668,4170,224686,4104,156969,3159,201775,3528,324846,5240,2665833,15823,821107,7926,2020860,11993,1173892,8777,3000464,13473,1265263,10370,314058,5142,182875,3256
04000US08,Colorado,3900754,1046,1943773,1073,22861,1192,6585,785,19149,1226,17189,1148,19123,1217,20499,1208,26980,1390,28881,1421,435348,5200,115533,2895,288126,4215,151346,2782,495933,5493,205051,3344,52434,1746,38735,1454,1956981,835,22467,1337,6427,719,17361,1265,16584,1088,16709,1064,19684,1026,22817,1420,25469,1310,391733,5001,124711,2685,281538,3804,180781,3377,520056,5322,240433,3935,41169,1702,29042,1211
04000US09,Connecticut,2489205,345,1188532,306,14459,1124,5961,645,12346,1145,16455,1157,13203,1000,17096,973,16260,1040,20175,1167,328904,4102,61547,1646,138065,3049,77725,2118,261124,3506,138747,2909,42370,1599,24095,1086,1300673,264,14661,941,7418,721,11227,940,16909,1163,12394,896,16047,1034,15148,1086,15791,927,326477,4580,71499,2081,148127,3235,115311,2247,290335,2996,184949,3338,35348,1588,19032,938
04000US10,Delaware,679870,205,322096,189,2890,472,1119,260,2969,435,4520,590,3901,499,5996,564,7219,735,6299,798,104525,2161,18924,1085,40535,1862,21121,1175,59723,1753,27870,1317,6524,518,7961,763,357774,86,3094,382,785,196,2614,346,4242,558,3227,487,5155,544,4995,488,4818,509,106473,2589,22489,1199,46449,2023,33468,1587,69369,1820,39487,1425,5681,614,5428,744
04000US11,District of Columbia,501986,68,235997,76,2653,481,1455,462,2021,490,2231,388,2454,485,2672,480,3578,552,3323,502,40204,1707,7618,878,20437,1286,5703,592,59914,1733,47548,1388,23490,1185,10696,827,265989,74,2902,478,1189,260,2058,427,2232,420,2077,432,3082,401,3835,486,3049,413,43143,1627,10508,1044,24707,1415,8880,1050,66894,1910,59331,1919,22209,1172,9893,689
04000US12,Florida,15255326,1702,7328111,1435,117543,3410,46587,2254,83622,3225,100076,2959,106001,3553,130106,4131,136233,3570,180435,4596,2111668,15872,462506,7419,970101,8432,651616,8222,1388109,10726,539183,6881,201820,3962,102505,2903,7927215,1117,122487,3294,49445,2273,89163,3242,92892,3101,92916,2878,113374,3258,122834,3664,168084,3954,2196874,14746,535123,7125,1045601,10761,870093,7491,1550484,12913,657318,8061,142467,3474,78060,2308
